card_id,card_zh_cnt,card_lb_cnt,card_xz_cnt,card_brand_cnt,card_product_cnt,card_zh,card_lb,card_xz,card_brand,card_product,flow_mtcnt,flow_daycnt,flowcnt_t,flowcnt_6,flowcnt_3,min_dtseg,max_dtseg,flowcnt_wkd,flowcnt_wke,top_trdtz,n_trdtz,top_trdwkd,n_trdwkd,succ_cnt1,succ_cnt6,succ_cnt3,succ_late,fail_late,cash_cnt1,cash_cnt6,cash_cnt3,cash_amt1,cash_amt6,cash_amt3,cashmax_amt1,cashmax_amt6,cashmax_amt3,cons_cnt1,cons_cnt6,cons_cnt3,cons_amt1,cons_amt6,cons_amt3,consmax_amt1,consmax_amt6,consmax_amt3,consnigt_cnt1,consnigt_cnt6,consnigt_cnt3,transout_cnt1,transout_cnt6,transout_cnt3,transout_amt1,transout_amt6,transout_amt3,transoutmax_amt1,transoutmax_amt6,transoutmax_amt3,transin_cnt1,transin_cnt6,transin_cnt3,transin_amt1,transin_amt6,transin_amt3,transinmax_amt1,transinmax_amt6,transinmax_amt3,cre_cash_cnt,cre_cash_amt,kj_cnt,kj_amt,zx_cnt,zx_amt,trade_amt1,trade_amt6,trade_amt3,consnigt_amt1,consnigt_amt6,consnigt_amt3,arg_cashamt,arg_consamt,avg_nigconsamt,arg_tout_amt,arg_crecash_amt,arg_zx_amt,arg_cashzb_cnt,arg_conszb_cnt,arg_nigconszb_cnt,transoutzb_cnt,cre_cashzb_cnt,zxzb_cnt,arg_cashzb_amt,arg_conszb_amt,arg_nigconszb_amt,transoutzb_amt,cre_cashzb_amt,zxzb_amt,flag
2580,1,1,1,1,1,1,1,1,12,0,4,4,6,6,2,54,144,5,1,noon,5,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2581,1,1,1,1,1,1,1,1,12,0,5,16,18,18,9,29,178,8,10,even,5,6,5,7,17,11,0,3,2,9,4,1800,5900,3200,1000,1000,1000,4,6,5,1036,1113.9,1091.9,382,382,382,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2836,7013.89,4291.89,175,175,175,6555.5,185.65,175,0,0,0,0.5,0.333333,0.055555,0,0,0,0.841187,0.158813,0.024950,0,0,0,1
2586,1,1,1,1,1,1,1,1,12,0,6,42,55,55,17,5,176,27,28,even,15,7,11,8,55,27,0,999,1,1,1,1000,1000,1000,1000,1000,1000,4,42,19,1958,33397,8893,1000,4410,1400,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7720.55,11674.74,93112.34,57950.46,1000,7683,1000,10000,795.16,1280.5,0,0,3860.275,0.018181,0.763636,0.109090,0,0,0.036363,0.010739,0.358674,0.082513,0,0,0.082916,1
2587,1,1,1,1,1,1,1,2,4,0,4,8,10,10,7,4,175,3,7,dusk,4,6,3,5,8,6,0,0,0,0,0,0,0,0,0,0,0,4,7,5,3361,33361,13361,1000,10000,10000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3362,33362,13362,1561,1561,1561,0,4765.85,780.5,0,0,0,0,0.7,0.2,0,0,0,0,0.999970,0.046789,0,0,0,1
2588,1,1,1,1,1,1,1,1,12,AA,5,12,20,20,14,16,177,9,11,aftr,8,7,7,8,19,17,0,0,2,6,6,1300,6600,6600,1000,2000,2000,1,3,1,30,57.5,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329.95,6657.4,6629.9,0,0,0,11000,19.16,0,0,0,0,0.3,0.15,0,0,0,0,0.991378,0.008637,0,0,0,0,1
2589,1,1,1,1,1,1,1,1,12,0,4,22,32,32,23,7,117,19,13,even,12,3,7,13,32,32,0,999,2,5,5,300,3500,3500,200,2000,2000,3,3,3,404.4,404.4,404.4,189,189,189,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,289.99,14599.37,118751.3,118751.3,189,189,189,7000,134.8,189,0,0,96.66333,0.15625,0.09375,0.03125,0,0,0.09375,0.029473,0.003405,0.001591,0,0,0.002441,1
259,1,1,1,1,1,1,1,1,12,0,5,10,17,17,3,14,170,6,11,noon,7,5,6,0,15,5,0,0,0,8,4,0,5900,2300,0,2000,2000,0,3,0,0,704,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.99,0,6603.96,2299.99,0,0,0,7375,234.66,0,0,0,2.495,0.470588,0.176470,0,0,0,0.117647,0.893403,0.106602,0,0,0,0.000755,1
2591,1,1,1,1,1,1,1,2,12,0,6,21,32,32,16,4,179,8,24,noon,10,6,12,12,31,16,0,2,0,0,0,0,0,0,0,0,0,9,16,11,6981,30227.4,19761,2400,10140,7660,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,831.8,7834,32454.68,20613.98,1000,1000,1000,0,1889.21,1000,0,0,118.8285,0,0.5,0.03125,0,0,0.21875,0,0.931372,0.030812,0,0,0.025629,1
2592,1,1,2,1,1,1,1,1,12,0,3,4,7,7,4,1,157,4,3,noon,4,6,3,2,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1400,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2250,3649.98,2249.98,0,0,0,0,0,0,1400,0,0,0,0,0,0.142857,0,0,0,0,0,0.383563,0,0,1
2594,1,1,1,1,1,1,1,2,2,0,6,22,45,45,15,2,179,19,26,noon,11,5,17,11,43,22,0,3,0,0,0,0,0,0,0,0,0,8,24,19,11828.89,14709.8,13655.2,4000,4000,4000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5848.48,10,49.91,11828.86,18203.67,13655.17,0,168,0,0,612.9,84,0,0,4.991,0,0.533333,0.044444,0,0,0.222222,0,0.808067,0.009228,0,0,0.002741,1
2595,1,1,1,1,1,1,1,1,12,0,6,44,63,63,38,6,179,34,29,dusk,18,5,19,31,61,44,0,0,18,38,26,40400,96900,57200,5000,5000,5000,0,3,1,0,2259,1059,0,1059,1059,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4200,131749.9,201718.9,158818.9,0,1059,1059,25500,753,1059,0,0,4200,0.603174,0.047619,0.015873,0,0,0.015873,0.480371,0.011198,0.005249,0,0,0.020821,1
2596,1,1,1,1,1,1,1,2,12,0,5,10,12,12,6,28,178,7,5,noon,6,7,3,3,12,9,0,999,1,5,3,1000,5000,3000,1000,1500,1000,2,4,4,3155,14295,14295,2950,7100,7100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5000,0,0,0,0,4155,19294.99,17295,0,0,0,10000,3573.75,0,0,1000,0,0.416666,0.333333,0,0,0.416666,0,0.259134,0.740865,0,0,0.259134,0,1
2599,1,1,1,1,1,1,1,1,12,0,2,3,4,4,4,12,44,0,4,dusk,2,5,3,4,4,4,0,999,1,1,1,200,200,200,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.97,199.97,199.97,0,0,0,2000,0,0,0,0,0,0.25,0,0,0,0,0,1.000150,0,0,0,0,0,1
26,1,1,1,1,1,3,1,2,1,0,4,14,17,17,9,17,148,7,10,noon,6,6,6,4,14,9,0,2,0,0,0,0,0,0,0,0,0,2,12,7,590,3030.31,2556.91,480,1428,1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,3472.31,2998.91,0,0,0,0,252.52,0,0,0,0,0,0.705882,0,0,0,0,0,0.872707,0,0,0,0,1
260,1,1,1,1,1,1,1,1,12,0,2,2,4,4,3,75,111,4,0,earl,3,4,3,0,4,4,2,999,0,1,1,0,1000,1000,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999.97,999.97,0,0,0,10000,0,0,0,0,0,0.25,0,0,0,0,0,1.000030,0,0,0,0,0,1
2600,1,1,1,1,1,1,1,2,1,0,4,8,11,11,11,2,89,10,1,aftr,4,3,3,6,10,10,0,3,0,0,0,0,0,0,0,0,0,6,8,8,3941,7201,7201,2700,2700,2700,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941,7200.98,7200.98,432,432,432,0,900.12,432,0,0,0,0,0.727272,0.090909,0,0,0,0,1.000002,0.059991,0,0,0,1
2601,1,1,1,1,1,1,1,1,12,0,2,7,7,7,7,13,34,3,4,noon,6,6,2,7,7,7,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,174239.8,174239.8,174239.8,174239.8,0,0,0,0,0,0,0,0,24891.41,0,0,0,0,0,1,0,0,0,0,0,1,1
2602,1,1,1,1,1,1,1,2,12,0,1,3,16,16,16,1,4,2,14,aftr,8,7,12,14,14,14,0,0,2,2,2,900,900,900,500,500,500,6,6,6,2212,2212,2212,1100,1100,1100,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,900,0,0,2,-0.02,3111.94,3111.94,3111.94,298,298,298,4500,368.66,298,0,450,-0.01,0.125,0.375,0.0625,0,0.125,0.125,0.289208,0.710810,0.095760,0,0.289208,-6.43E-0,1
2603,1,1,1,1,1,1,1,1,12,0,6,54,148,148,79,2,170,98,50,aftr,69,5,38,59,141,113,0,0,33,48,47,76000,110400,108400,3000,3000,3000,15,58,42,9139.62,60948.62,47590.62,2418,15002,15002,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26100,114239.5,200448.2,185090.4,3420,27505,27505,23000,1050.83,5501,0,0,5220,0.324324,0.391891,0.033783,0,0,0.033783,0.550765,0.304061,0.137217,0,0,0.130208,1
2604,1,1,1,1,1,1,1,2,1,0,5,19,37,37,19,7,159,23,14,aftr,18,3,10,7,33,18,0,0,1,6,4,100,7300,4500,100,2000,2000,3,14,9,18365,47500.35,31725,18035,18035,18035,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7300,0,0,0,0,18464.97,55276.23,36224.95,0,10448,2070,12166.6,3392.88,5224,0,1216.666,0,0.162162,0.378378,0.054054,0,0.162162,0,0.132063,0.859326,0.189014,0,0.132063,0,1
2605,1,1,1,1,1,1,1,2,12,0,1,1,1,1,1,5,5,0,1,even,1,5,1,1,1,1,0,999,0,0,0,0,0,0,0,0,0,1,1,1,5125,5125,5125,5125,5125,5125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5125,5125,5125,0,0,0,0,5125,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2606,1,1,1,1,1,1,1,2,1,0,1,3,7,7,7,3,11,0,7,dusk,5,7,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,789,789,789,386,386,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,789,789,0,0,0,0,263,0,0,0,0,0,0.428571,0,0,0,0,0,1,0,0,0,0,1
2609,1,1,1,1,1,1,1,2,12,0,6,37,90,90,38,1,170,40,50,aftr,31,5,21,19,85,68,0,2,2,13,10,3300,21600,17800,1900,3000,3000,6,45,37,7430,28450.15,25527.8,4300,5390,5390,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21600,0,0,6,149.81,17329.91,56758.51,50036.22,200,200,200,16615.3,632.22,100,0,1661.538,24.96833,0.144444,0.5,0.022222,0,0.144444,0.066666,0.380559,0.501249,0.003523,0,0.380559,0.002639,1
261,1,1,1,1,1,1,1,1,12,0,6,27,36,36,18,8,177,23,13,dusk,9,2,9,8,36,24,0,999,0,3,0,0,2000,0,0,1500,0,8,27,22,1783.9,8121.98,5008.98,449.9,2450,588,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1783.9,11237.94,6124.98,638,1529,1529,6666.6,300.81,218.4285,0,0,0,0.083333,0.75,0.194444,0,0,0,0.177968,0.722728,0.136056,0,0,0,1
2610,1,1,1,1,1,1,1,1,12,0,6,32,67,67,44,2,173,34,33,noon,27,3,18,28,65,51,0,1,17,47,36,20000,71400,53400,2000,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.01,21771.19,73753.15,55171.15,0,0,0,15191.4,0,0,0,0,-0.01,0.701492,0,0,0,0,0.014925,0.968094,0,0,0,0,-1.36E-0,1
2611,1,1,1,1,1,1,1,1,12,0,1,1,2,2,0,136,136,0,2,morn,2,7,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2612,1,1,1,1,1,1,1,1,12,AA,6,87,177,177,108,1,176,102,75,aftr,45,2,35,59,144,109,0,0,10,24,20,32500,52600,46600,5000,5000,5000,12,39,21,66241.39,178448.7,108632.6,19700,19700,19700,0,1,0,0,2,0,0,2000,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45079.94,288791.3,786778.5,627582.5,0,271,0,21916.6,4575.6,271,1000,0,45079.94,0.135593,0.220338,0.005649,0.011299,0,0.005649,0.066854,0.226809,0.000344,0.002542,0,0.057296,1
2613,1,1,1,1,1,1,1,1,1,0,5,23,36,36,18,14,178,19,17,aftr,13,7,9,15,34,31,0,1,1,2,2,5000,7700,7700,5000,5000,5000,8,25,22,5755.8,16588.05,11488.05,1500,5000,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10755.74,24287.98,19187.98,0,0,0,38500,663.52,0,0,0,0,0.055555,0.694444,0,0,0,0,0.317029,0.682973,0,0,0,0,1
2615,1,1,1,1,1,1,1,2,12,0,6,17,19,19,12,18,179,11,8,aftr,12,6,7,6,16,13,0,0,0,0,0,0,0,0,0,0,0,6,16,13,1467.8,6880.8,2270.8,1016.5,4186,1016.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1467.8,6880.8,2270.8,0,0,0,0,430.05,0,0,0,0,0,0.842105,0,0,0,0,0,1,0,0,0,0,1
2618,1,1,1,1,1,1,1,3,12,0,6,13,28,28,13,4,177,18,10,noon,8,2,10,10,28,16,0,999,0,0,0,0,0,0,0,0,0,9,14,12,3702,43717,23707,1400,10010,10005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3701.99,43716.86,23706.96,340,340,340,0,3122.64,340,0,0,0,0,0.5,0.035714,0,0,0,0,1.000003,0.007777,0,0,0,1
2619,1,1,1,1,1,1,1,2,12,0,3,11,16,16,14,29,113,10,6,dusk,7,1,6,1,13,13,0,1,0,0,0,0,0,0,0,0,0,1,11,11,50,18641,18641,50,4800,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,19741,19741,0,0,0,0,1694.63,0,0,0,0,0,0.6875,0,0,0,0,0,0.944278,0,0,0,0,1
262,1,1,1,1,1,1,1,1,12,0,6,25,50,50,37,3,160,26,24,aftr,20,7,9,26,47,38,0,1,1,5,4,1000,8000,7000,1000,2000,2000,18,29,25,2427.9,6127.9,4727.9,347.9,500,500,12,14,14,2,2,2,20000,20000,20000,10000,10000,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5180,23427.85,34127.79,31727.83,1400,2400,2400,16000,211.3,171.4285,10000,0,199.2307,0.1,0.58,0.28,0.04,0,0.52,0.234413,0.179557,0.070323,0.586032,0,0.151782,1
2622,1,1,1,1,1,1,1,1,12,0,5,11,35,35,15,21,166,29,6,dusk,14,4,19,5,33,27,0,0,1,18,14,500,52100,42100,500,5000,5000,2,3,3,2250.01,2450.01,2450.01,2250,2250,2250,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2450,2749.99,54549.89,44549.91,0,200,200,28944.4,816.67,200,0,0,612.5,0.514285,0.085714,0.028571,0,0,0.114285,0.955089,0.044913,0.003666,0,0,0.044913,1
2623,1,1,1,1,1,1,1,1,12,0,4,6,18,18,1,29,176,14,4,aftr,14,1,10,1,17,4,0,5,1,1,1,5000,5000,5000,5000,5000,5000,0,11,2,0,3976.8,224,0,1618,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1862.49,0,0,5000,8976.8,5224,0,0,0,50000,361.52,0,0,0,0,0.055555,0.611111,0,0,0,0,0.556991,0.443008,0,0,0,0,1
2625,1,1,1,1,1,1,1,1,12,0,2,2,2,2,1,77,103,2,0,noon,2,3,1,0,2,2,2,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2626,1,1,1,1,1,1,1,2,12,0,6,16,17,17,11,18,151,8,9,morn,6,7,4,6,14,11,0,0,0,0,0,0,0,0,0,0,0,2,10,7,91.8,43141.8,32890.8,51.8,15550,15550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907.8,43957.8,33706.8,0,0,0,0,4314.18,0,0,0,0,0,0.588235,0,0,0,0,0,0.981436,0,0,0,0,1
2627,1,1,1,1,1,3,1,2,1,0,2,11,29,29,29,13,70,20,9,morn,9,3,8,9,23,23,0,0,0,1,1,0,2000,2000,0,2000,2000,9,19,19,16987.5,34929.5,34929.5,6051,9790,9790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2000,0,0,0,0,16987.5,36929.47,36929.47,0,0,0,20000,1838.39,0,0,2000,0,0.034482,0.655172,0,0,0.034482,0,0.054157,0.945843,0,0,0.054157,0,1
2629,1,1,1,1,1,1,1,1,12,0,4,4,7,7,5,6,159,5,2,dusk,5,4,4,3,6,5,0,5,2,4,3,900,1800,1300,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899.99,1799.98,1299.98,0,0,0,4500,0,0,0,0,0,0.571428,0,0,0,0,0,1.000011,0,0,0,0,0,1
263,1,1,1,1,1,1,1,2,2,0,5,8,18,18,12,12,141,5,13,noon,12,6,9,8,17,15,0,2,0,0,0,0,0,0,0,0,0,8,17,15,39817,118030.2,98535.2,10880,19581,19581,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39817,118030.2,98535.2,0,19495,0,0,6942.95,9747.5,0,0,0,0,0.944444,0.111111,0,0,0,0,1,0.165169,0,0,0,1
2630,1,1,1,1,1,3,1,2,6,0,6,12,40,40,31,1,172,35,5,dusk,20,4,11,12,26,20,0,0,0,0,0,0,0,0,0,0,0,12,24,20,81372,175752.7,138403.7,10100,16100,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81372,175752.6,138403.7,0,0,0,0,7323.02,0,0,0,0,0,0.6,0,0,0,0,0,1.000000,0,0,0,0,1
2632,1,1,1,1,1,1,1,2,12,0,5,15,16,16,5,36,173,7,9,dusk,8,7,4,2,16,8,1,999,0,0,0,0,0,0,0,0,0,2,16,8,2399,7746,4986,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2399,7746,4986,0,0,0,0,484.12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2634,1,1,1,1,1,1,1,1,12,0,2,8,10,10,10,37,88,4,6,dusk,5,7,4,6,10,10,1,999,3,4,4,3000,3300,3300,1000,1000,1000,2,5,5,1413.1,2526.65,2526.65,1110,1110,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4413.09,5826.64,5826.64,0,0,0,8250,505.33,0,0,0,0,0.4,0.5,0,0,0,0,0.566364,0.433637,0,0,0,0,1
